Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Parctab Ubiquitous Computing Experiment","Mobile Computing","","","","10.1007/978-0-585-29603-6_2","Roy WantBill N. SchilitNorman I. AdamsRich GoldKarin PetersenDavid GoldbergJohn R. EllisMark Weiser","1996","http://link.springer.com/chapter/10.1007/978-0-585-29603-6_2","Chapter"
"Data Input","Microcomputer","","","","10.1007/978-1-4615-9998-2_8","Kenneth L. Bowles","1977","http://link.springer.com/chapter/10.1007/978-1-4615-9998-2_8","Chapter"
"Can eyes reveal interest? Implicit queries from gaze patterns","User Modeling and User-Adapted Interaction","","19","4","10.1007/s11257-009-9066-4","Antti AjankiDavid R. HardoonSamuel KaskiKai PuolamäkiJohn Shawe-Taylor","2009","http://link.springer.com/article/10.1007/s11257-009-9066-4","Article"
"Data Input","Microcomputer","","","","10.1007/978-3-662-38578-4_8","Kenneth L. Bowles","1977","http://link.springer.com/chapter/10.1007/978-3-662-38578-4_8","Chapter"
"Video databases: An emerging tool in business education","Education and Information Technologies","","19","1","10.1007/s10639-012-9213-0","Gregory MacKinnonConor Vibert","2014","http://link.springer.com/article/10.1007/s10639-012-9213-0","Article"
"Improvement in environmental accessibility via volunteered geographic information: a case study","Universal Access in the Information Society","","16","4","10.1007/s10209-016-0505-9","Limin ZengRomina KühnGerhard Weber","2017","http://link.springer.com/article/10.1007/s10209-016-0505-9","Article"
"Measuring acceptable input: What is “good enough”?","Universal Access in the Information Society","","16","3","10.1007/s10209-016-0498-4","Simeon Keates","2017","http://link.springer.com/article/10.1007/s10209-016-0498-4","Article"
"A Comprehensive Overview of Visual Design of Process Model Element Labels","Business Process Management Workshops","","","","10.1007/978-3-319-42887-1_46","Agnes KoschmiderKathrin FiglAndreas Schoknecht","2016","http://link.springer.com/chapter/10.1007/978-3-319-42887-1_46","Chapter"
"The use of explicit goals for knowledge to guide inference and learning","Applied Intelligence","","2","1","10.1007/BF00058575","Ashwin RamLawrence Hunter","1992","http://link.springer.com/article/10.1007/BF00058575","Article"
"Naive Semantics","Naive Semantics for Natural Language Understanding","","","","10.1007/978-1-4613-1075-4_1","Kathleen Dahlgren","1988","http://link.springer.com/chapter/10.1007/978-1-4613-1075-4_1","Chapter"
"Combining Concept Mapping and Adaptive Advice to Teach Reading Comprehension","J.UCS The Journal of Universal Computer Science","","","","10.1007/978-3-642-80350-5_14","Patricia A. Carlson Ph.D.Veronica Larralde","1996","http://link.springer.com/chapter/10.1007/978-3-642-80350-5_14","Chapter"
"Tilt-Based Automatic Zooming and Scaling in Mobile Devices – A State-Space Implementation","Mobile Human-Computer Interaction - MobileHCI 2004","","","","10.1007/978-3-540-28637-0_11","Parisa EslambolchilarRoderick Murray-Smith","2004","http://link.springer.com/chapter/10.1007/978-3-540-28637-0_11","Chapter"
"Digital media: Bridges between data particles and artifacts","The Visual Computer","","2","3","10.1007/BF01900324","Frank Dietrich","1986","http://link.springer.com/article/10.1007/BF01900324","Article"
"Text line extraction in graphical documents using background and foreground information","International Journal on Document Analysis and Recognition (IJDAR)","","15","3","10.1007/s10032-011-0167-3","Partha Pratim RoyUmapada PalJosep Lladós","2012","http://link.springer.com/article/10.1007/s10032-011-0167-3","Article"
"Detecting Events in Online Social Networks: Definitions, Trends and Challenges","Solving Large Scale Learning Tasks. Challenges and Algorithms","","","","10.1007/978-3-319-41706-6_2","Nikolaos PanagiotouIoannis KatakisDimitrios Gunopulos","2016","http://link.springer.com/chapter/10.1007/978-3-319-41706-6_2","Chapter"
"Document Analysis Systems for Digital Libraries: Challenges and Opportunities","Document Analysis Systems VI","","","","10.1007/978-3-540-28640-0_1","Henry S. BairdVenugopal GovindarajuDaniel P. Lopresti","2004","http://link.springer.com/chapter/10.1007/978-3-540-28640-0_1","Chapter"
"Document skew estimation without angle range restriction","International Journal on Document Analysis and Recognition","","2","2 - 3","10.1007/s100320050043","Oleg OkunMatti PietikäinenJaakko Sauvola","1999","http://link.springer.com/article/10.1007/s100320050043","Article"
"Building cameras for capturing documents","International Journal of Document Analysis and Recognition (IJDAR)","","7","2 - 3","10.1007/s10032-004-0129-0","Stephen PollardMaurizio Pilu","2005","http://link.springer.com/article/10.1007/s10032-004-0129-0","Article"
"Converging Trends Towards Human-Centerednes and Enabling Theories","Human-Centered e-Business","","","","10.1007/978-1-4615-0445-0_3","Rajiv KhoslaErnesto DamianiWilliam Grosky","2003","http://link.springer.com/chapter/10.1007/978-1-4615-0445-0_3","Chapter"
"Finite-State Approaches to Web Information Extraction","Information Extraction in the Web Era","","","","10.1007/978-3-540-45092-4_4","Nicholas Kushmerick","2003","http://link.springer.com/chapter/10.1007/978-3-540-45092-4_4","Chapter"
"Language, vision and metaphor","Artificial Intelligence Review","","9","4 - 5","10.1007/BF00849040","Yorick Wilks","1995","http://link.springer.com/article/10.1007/BF00849040","Article"
"Advanced lexical ontologies and hybrid knowledge based systems: First steps to a dynamic legal electronic commentary","Artificial Intelligence and Law","","15","2","10.1007/s10506-007-9029-1","Erich SchweighoferDoris Liebwald","2007","http://link.springer.com/article/10.1007/s10506-007-9029-1","Article"
"Language, Vision and Metaphor","Integration of Natural Language and Vision Processing","","","","10.1007/978-94-009-1639-5_4","Yorick Wilks","1996","http://link.springer.com/chapter/10.1007/978-94-009-1639-5_4","Chapter"
"Max Margin Learning of Hierarchical Configural Deformable Templates (HCDTs) for Efficient Object Parsing and Pose Estimation","International Journal of Computer Vision","","93","1","10.1007/s11263-010-0375-1","Long (Leo) ZhuYuanhao ChenChenxi LinAlan Yuille","2011","http://link.springer.com/article/10.1007/s11263-010-0375-1","Article"
"Information extraction from multimedia web documents: an open-source platform and testbed","International Journal of Multimedia Information Retrieval","","3","2","10.1007/s13735-014-0051-2","David Paul DupplawMichael MatthewsRichard JohanssonGiulia BoatoAndrea CostanzoMarco FontaniEnrico MinackElena DemidovaRoi BlancoThomas GriffithsPaul LewisJonathon HareAlessandro Moschitti","2014","http://link.springer.com/article/10.1007/s13735-014-0051-2","Article"
"A Natural Language Processing Tool for White Collar Crime Investigation","Transactions on Large-Scale Data- and Knowledge-Centered Systems XXIII","","","","10.1007/978-3-662-49175-1_1","Maarten van BanerveldMohand-Tahar KechadiNhien-An Le-Khac","2016","http://link.springer.com/chapter/10.1007/978-3-662-49175-1_1","Chapter"
"Locator slope calculation via deep representations based on monocular vision","Neural Computing and Applications","","","","10.1007/s00521-017-3229-8","Yang YangWensheng ZhangZewen HeDongjie Chen","2017","http://link.springer.com/article/10.1007/s00521-017-3229-8","Article"
"An experimental evaluation of the importance of randomness in hill climbing searches applied to software engineering problems","Empirical Software Engineering","","19","5","10.1007/s10664-013-9294-4","Márcio de O. Barros","2014","http://link.springer.com/article/10.1007/s10664-013-9294-4","Article"
"Conference Mining via Generalized Topic Modeling","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-04180-8_33","Ali DaudJuanzi LiLizhu ZhouFaqir Muhammad","2009","http://link.springer.com/chapter/10.1007/978-3-642-04180-8_33","Chapter"
"Large-Scale Learning of Relation-Extraction Rules with Distant Supervision from the Web","The Semantic Web – ISWC 2012","","","","10.1007/978-3-642-35176-1_17","Sebastian KrauseHong LiHans UszkoreitFeiyu Xu","2012","http://link.springer.com/chapter/10.1007/978-3-642-35176-1_17","Chapter"
"Computer vision and GIS for the navigation of blind persons in buildings","Universal Access in the Information Society","","14","1","10.1007/s10209-013-0338-8","M. SerrãoS. ShahrabadiM. MorenoJ. T. JoséJ. I. RodriguesJ. M. F. RodriguesJ. M. H. du Buf","2015","http://link.springer.com/article/10.1007/s10209-013-0338-8","Article"
"Optimization of the material handling costs and the machine reliability in cellular manufacturing system using cuckoo search algorithm","Neural Computing and Applications","","","","10.1007/s00521-017-3302-3","Bouchra KaroumYoussef Bouazza Elbenani","2018","http://link.springer.com/article/10.1007/s00521-017-3302-3","Article"
"Offline cursive script word recognition – a survey","International Journal on Document Analysis and Recognition","","2","2 - 3","10.1007/s100320050040","Tal SteinherzEhud RivlinNathan Intrator","1999","http://link.springer.com/article/10.1007/s100320050040","Article"
"Using IR Techniques for Text Classification in Document Analysis","SIGIR ’94","","","","10.1007/978-1-4471-2099-5_4","Rainer Hoch","1994","http://link.springer.com/chapter/10.1007/978-1-4471-2099-5_4","Chapter"
"A Language for Audiovisual Template Specification and Recognition","Principles and Practice of Constraint Programming – CP 2000","","","","10.1007/3-540-45349-0_11","Jean CarrivePierre RoyFrançois PachetRémi Ronfard","2000","http://link.springer.com/chapter/10.1007/3-540-45349-0_11","Chapter"
"A Mobile Recognition System for Analog Energy Meter Scanning","Advances in Visual Computing","","","","10.1007/978-3-319-50835-1_23","Martin CermanGayane ShaluntsDaniel Albertini","2016","http://link.springer.com/chapter/10.1007/978-3-319-50835-1_23","Chapter"
"DaLI: Deformation and Light Invariant Descriptor","International Journal of Computer Vision","","115","2","10.1007/s11263-015-0805-1","Edgar Simo-SerraCarme TorrasFrancesc Moreno-Noguer","2015","http://link.springer.com/article/10.1007/s11263-015-0805-1","Article"
"Context-Based Fusion of Physical and Human Data for Level 5 Information Fusion","Context-Enhanced Information Fusion","","","","10.1007/978-3-319-28971-7_18","Erik BlaschRiad I. HammoudHaibin LingDan ShenJames NagyGenshe Chen","2016","http://link.springer.com/chapter/10.1007/978-3-319-28971-7_18","Chapter"
"Semi-supervised dictionary learning with label propagation for image classification","Computational Visual Media","","3","1","10.1007/s41095-016-0073-1","Lin ChenMeng Yang","2017","http://link.springer.com/article/10.1007/s41095-016-0073-1","Article"
"The ROAD from Sensor Data to Process Instances via Interaction Mining","Advanced Information Systems Engineering","","","","10.1007/978-3-319-39696-5_16","Arik SenderovichAndreas Rogge-SoltiAvigdor GalJan MendlingAvishai Mandelbaum","2016","http://link.springer.com/chapter/10.1007/978-3-319-39696-5_16","Chapter"
"Contextual cropping and scaling of TV productions","Multimedia Tools and Applications","","61","3","10.1007/s11042-011-0804-3","Joerg DeigmoellerTakebumi ItagakiNorbert JustGerhard Stoll","2012","http://link.springer.com/article/10.1007/s11042-011-0804-3","Article"
"A HMM-Based Approach to Recognize Ultra Low Resolution Anti-Aliased Words","Pattern Recognition and Machine Intelligence","","","","10.1007/978-3-540-77046-6_63","Farshideh EinseleRolf IngoldJean Hennebert","2007","http://link.springer.com/chapter/10.1007/978-3-540-77046-6_63","Chapter"
"A survey of assistive technologies and applications for blind users on mobile platforms: a review and foundation for research","Journal on Multimodal User Interfaces","","9","4","10.1007/s12193-015-0182-7","Ádám CsapóGyörgy WersényiHunor NagyTony Stockman","2015","http://link.springer.com/article/10.1007/s12193-015-0182-7","Article"
"Exploring the Use of Distributed Multiple Monitors within an Activity-Promoting Sit-and-Stand Office Workspace","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40477-1_30","Kathrin ProbstDavid LindlbauerFlorian PertenederMichael HallerBernhard SchwartzAndreas Schrempf","2013","http://link.springer.com/chapter/10.1007/978-3-642-40477-1_30","Chapter"
"Neural Network Agents for Learning Semantic Text Classification","Information Retrieval","","3","2","10.1023/A:1009942513170","Stefan Wermter","2000","http://link.springer.com/article/10.1023/A%3A1009942513170","Article"
"A Parametrizable Task-Adaptive NE-Recognition System","Databases and Information Systems II","","","","10.1007/978-94-015-9978-8_24","Jakub PiskorskiTilman JägerFeiyu Xu","2002","http://link.springer.com/chapter/10.1007/978-94-015-9978-8_24","Chapter"
"Automatic performance evaluation of printed Chinese character recognition systems","International Journal on Document Analysis and Recognition","","4","3","10.1007/s100320200068","Chi FangChangsong LiuLiangrui PengXiaoqing Ding","2002","http://link.springer.com/article/10.1007/s100320200068","Article"
"Group topic modeling for academic knowledge discovery","Applied Intelligence","","36","4","10.1007/s10489-011-0302-3","Ali DaudFaqir Muhammad","2012","http://link.springer.com/article/10.1007/s10489-011-0302-3","Article"
"Systems and architectures for multimedia information retrieval","Multimedia Systems","","10","6","10.1007/s00530-005-0174-7","Chabane DjerabaNicu SebeMichael S. Lew","2005","http://link.springer.com/article/10.1007/s00530-005-0174-7","Article"
"An Index for Two Dimensional String Matching Allowing Rotations","Theoretical Computer Science: Exploring New Frontiers of Theoretical Informatics","","","","10.1007/3-540-44929-9_5","Kimmo FredrikssonGonzalo NavarroEsko Ukkonen","2000","http://link.springer.com/chapter/10.1007/3-540-44929-9_5","Chapter"
"Group and Groupware Principles","Interactive Media","","","","10.1007/978-1-4612-4226-0_6","Roy Rada","1995","http://link.springer.com/chapter/10.1007/978-1-4612-4226-0_6","Chapter"
"Fingerprint Classification by Decision Fusion","Automatic Fingerprint Recognition Systems","","","","10.1007/0-387-21685-5_10","Andrew SeniorRuud Bolle","2004","http://link.springer.com/chapter/10.1007/0-387-21685-5_10","Chapter"
"Hybrid model of clustering and kernel autoassociator for reliable vehicle type classification","Machine Vision and Applications","","25","2","10.1007/s00138-013-0588-8","Bailing ZhangYifan ZhouHao PanTammam Tillo","2014","http://link.springer.com/article/10.1007/s00138-013-0588-8","Article"
"A categorization system for handwritten documents","International Journal on Document Analysis and Recognition (IJDAR)","","15","4","10.1007/s10032-011-0173-5","Thierry PaquetLaurent HeutteGuillaume KochClément Chatelain","2012","http://link.springer.com/article/10.1007/s10032-011-0173-5","Article"
"Mutual Spotting Retrieval between Speech and Video Image Using Self-Organized Network Databases","Advanced Multimedia Content Processing","","","","10.1007/3-540-48962-2_8","Takashi EndoJian Xin ZhangMasakyuki NakazawaRyuichi Oka","1999","http://link.springer.com/chapter/10.1007/3-540-48962-2_8","Chapter"
"OCR as a Service: An Experimental Evaluation of Google Docs OCR, Tesseract, ABBYY FineReader, and Transym","Advances in Visual Computing","","","","10.1007/978-3-319-50835-1_66","Ahmad P. TaftiAhmadreza BaghaieMehdi AssefiHamid R. ArabniaZeyun YuPeggy Peissig","2016","http://link.springer.com/chapter/10.1007/978-3-319-50835-1_66","Chapter"
"Improving reading comprehension step by step using Online-Boost text readability classification system","Neural Computing and Applications","","26","4","10.1007/s00521-014-1770-2","Lei LaNan WangDong-ping Zhou","2015","http://link.springer.com/article/10.1007/s00521-014-1770-2","Article"
"Ontology-based mobile augmented reality in cultural heritage sites: information modeling and user study","Multimedia Tools and Applications","","76","24","10.1007/s11042-017-4868-6","Hayun KimTamás MatuszkaJea-In KimJungwha KimWoontack Woo","2017","http://link.springer.com/article/10.1007/s11042-017-4868-6","Article"
"Modelling in Action","Design, Specification and Verification of Interactive Systems ’97","","","","10.1007/978-3-7091-6878-3_20","Robert E. FieldsNicholas A. Merriam","1997","http://link.springer.com/chapter/10.1007/978-3-7091-6878-3_20","Chapter"
"Gaze point estimation on curved display by using session level calibration for flat screen displays","Multimedia Tools and Applications","","77","6","10.1007/s11042-017-4616-y","Simona RamanauskaitėAntanas ČenysEglė RadvilėNerijus Ramanauskas","2018","http://link.springer.com/article/10.1007/s11042-017-4616-y","Article"
"Modelling Human Machine Interaction: Techniques for Prediction of Performance","Empirical Foundations of Information and Software Science V","","","","10.1007/978-1-4684-5862-6_19","Ömer Akin","1990","http://link.springer.com/chapter/10.1007/978-1-4684-5862-6_19","Chapter"
"A Component-Based Framework for Recognition Systems","Reading and Learning","","","","10.1007/978-3-540-24642-8_10","Matthias MiddendorfCarsten PeustJohannes Schacht","2004","http://link.springer.com/chapter/10.1007/978-3-540-24642-8_10","Chapter"
"Look or Listen: Discovering Effective Techniques for Accessing Speech Data","People and Computers XVII — Designing for Society","","","","10.1007/978-1-4471-3754-2_13","Steve WhittakerJulia Hirschberg","2004","http://link.springer.com/chapter/10.1007/978-1-4471-3754-2_13","Chapter"
"Complete Examples","Specification and Transformation of Programs","","","","10.1007/978-3-642-61512-2_9","Helmut A. Partsch","1990","http://link.springer.com/chapter/10.1007/978-3-642-61512-2_9","Chapter"
"Technostress in the office: a distributed cognition perspective on human–technology interaction","Cognition, Technology & Work","","16","2","10.1007/s10111-013-0256-9","Charlott SellbergTarja Susi","2014","http://link.springer.com/article/10.1007/s10111-013-0256-9","Article"
"Two-Phase Updating of Student Models Based on Dynamic Belief Networks","Intelligent Tutoring Systems","","","","10.1007/3-540-68716-5_33","Jim Reye","1998","http://link.springer.com/chapter/10.1007/3-540-68716-5_33","Chapter"
"Smarttext: Using agents supporting personalised reading comprehension","Personal Technologies","","2","3","10.1007/BF01321173","Igor A. Chemyr Ph. D.Mark A. HorneyLynne Anderson-Inman","1998","http://link.springer.com/article/10.1007/BF01321173","Article"
"A belief net backbone for student modelling","Intelligent Tutoring Systems","","","","10.1007/3-540-61327-7_159","Jim Reye","1996","http://link.springer.com/chapter/10.1007/3-540-61327-7_159","Chapter"
"Modifying Multi-user Discussion Systems to Support Text-based Virtual Learning Environments on the Web — the coMentor Experience","The Digital University","","","","10.1007/978-1-4471-0625-8_9","Graham R. Gibbs","1998","http://link.springer.com/chapter/10.1007/978-1-4471-0625-8_9","Chapter"
"Interactive ant colony optimization (iACO) for early lifecycle software design","Swarm Intelligence","","8","2","10.1007/s11721-014-0094-2","Christopher L. SimonsJim SmithPaul White","2014","http://link.springer.com/article/10.1007/s11721-014-0094-2","Article"
"When the golden arches gang aft agley: Incorporating software engineering into computer science","Software Engineering Education","","","","10.1007/BFb0017606","Kenneth L. Modesitt Ph.D.","1993","http://link.springer.com/chapter/10.1007/BFb0017606","Chapter"
"An Overview of CrossoverNet","Application Development Systems","","","","10.1007/978-4-431-68051-2_6","Tosiyasu L. KuniiYukari Shirota","1986","http://link.springer.com/chapter/10.1007/978-4-431-68051-2_6","Chapter"
"A Revision of the Literature Concerned with Mobile, Ubiquitous, and Pervasive Learning: A Survey","Mobile, Ubiquitous, and Pervasive Learning","","","","10.1007/978-3-319-26518-6_3","Alejandro Peña-AyalaLeonor Cárdenas","2016","http://link.springer.com/chapter/10.1007/978-3-319-26518-6_3","Chapter"
"GUITAR: an innovative tool for automated testing of GUI-driven software","Automated Software Engineering","","21","1","10.1007/s10515-013-0128-9","Bao N. NguyenBryan RobbinsIshan BanerjeeAtif Memon","2014","http://link.springer.com/article/10.1007/s10515-013-0128-9","Article"
"The Coming Evolution","Creating Internet Intelligence","","","","10.1007/978-1-4615-0561-7_1","Ben GoertzelStephan Vladimir Bugaj","2002","http://link.springer.com/chapter/10.1007/978-1-4615-0561-7_1","Chapter"
"A review of eye-tracking applications as tools for training","Cognition, Technology & Work","","15","3","10.1007/s10111-012-0234-7","Jonathan L. RoschJennifer J. Vogel-Walcutt","2013","http://link.springer.com/article/10.1007/s10111-012-0234-7","Article"
"Concatenation of Multiple Features for Face Recognition","Smart Trends in Information Technology and Computer Communications","","","","10.1007/978-981-10-3433-6_67","Viswanath K. ReddyShruthi B. Gangal","2016","http://link.springer.com/chapter/10.1007/978-981-10-3433-6_67","Chapter"
"Hybrid Digital Signal Processing and Neural Networks for Automated Diagnostics Using Eddy Current Inspection","ICANN ’93","","","","10.1007/978-1-4471-2063-6_227","Wu YanBelle R. Upadhyaya","1993","http://link.springer.com/chapter/10.1007/978-1-4471-2063-6_227","Chapter"
"NLP evaluation: Work and strategies","Evaluating Natural Language Processing Systems","","","","10.1007/BFb0027473","","1996","http://link.springer.com/chapter/10.1007/BFb0027473","Chapter"
"Data Import & Processing","Ontology Learning for the Semantic Web","","","","10.1007/978-1-4615-0925-7_5","Alexander Maedche","2002","http://link.springer.com/chapter/10.1007/978-1-4615-0925-7_5","Chapter"
"SCSMiner: mining social coding sites for software developer recommendation with relevance propagation","World Wide Web","","","","10.1007/s11280-018-0526-9","Yao WanLiang ChenGuandong XuZhou ZhaoJie TangJian Wu","2018","http://link.springer.com/article/10.1007/s11280-018-0526-9","Article"
"Intelligent Multimedia Information Management","Intelligent Multimedia Multi-Agent Systems","","","","10.1007/978-1-4757-3196-5_9","Rajiv KhoslaIshwar K. SethiErnesto Damiani","2000","http://link.springer.com/chapter/10.1007/978-1-4757-3196-5_9","Chapter"
"Max-margin non-negative matrix factorization with flexible spatial constraints based on factor analysis","Frontiers of Computer Science","","10","2","10.1007/s11704-015-4590-3","Dakun LiuXiaoyang Tan","2016","http://link.springer.com/article/10.1007/s11704-015-4590-3","Article"
"The Structure of Locally Orderless Images","International Journal of Computer Vision","","31","2 - 3","10.1023/A:1008065931878","Jan J. KoenderinkAndrea J. Van Doorn","1999","http://link.springer.com/article/10.1023/A%3A1008065931878","Article"
"Robust partial fingerprint recognition using wavelet SIFT descriptors","Pattern Analysis and Applications","","20","4","10.1007/s10044-017-0615-x","Ashok AravindanS. M. Anzar","2017","http://link.springer.com/article/10.1007/s10044-017-0615-x","Article"
"Leveraging 3D City Models for Rotation Invariant Place-of-Interest Recognition","International Journal of Computer Vision","","96","3","10.1007/s11263-011-0458-7","Georges BaatzKevin KöserDavid ChenRadek GrzeszczukMarc Pollefeys","2012","http://link.springer.com/article/10.1007/s11263-011-0458-7","Article"
"Searching Repositories of Web Application Models","Web Engineering","","","","10.1007/978-3-642-13911-6_1","Alessandro BozzonMarco BrambillaPiero Fraternali","2010","http://link.springer.com/chapter/10.1007/978-3-642-13911-6_1","Chapter"
"A History of First Step Fallacies","Minds and Machines","","22","2","10.1007/s11023-012-9276-0","Hubert L. Dreyfus","2012","http://link.springer.com/article/10.1007/s11023-012-9276-0","Article"
"Learning Science by Constructing Models: Can Dragoon Increase Learning without Increasing the Time Required?","International Journal of Artificial Intelligence in Education","","26","4","10.1007/s40593-015-0093-5","Kurt VanLehnGreg ChungSachin GroverAyesha MadniJon Wetzel","2016","http://link.springer.com/article/10.1007/s40593-015-0093-5","Article"
"Steps in Identifying Interaction Design Patterns for Multimodal Systems","Engineering Interactive Systems","","","","10.1007/978-3-540-85992-5_5","Andreas Ratzka","2008","http://link.springer.com/chapter/10.1007/978-3-540-85992-5_5","Chapter"
"Elastic Translation Invariant Matching of Trajectories","Machine Learning","","58","2 - 3","10.1007/s10994-005-5830-9","Michail VlachosGeorge KolliosDimitrios Gunopulos","2005","http://link.springer.com/article/10.1007/s10994-005-5830-9","Article"
"A hybrid approach for classification of rare class data","Knowledge and Information Systems","","","","10.1007/s10115-017-1114-5","Kapil Keshao WankhadeKalpana C. JondhaleVijaya R. Thool","2017","http://link.springer.com/article/10.1007/s10115-017-1114-5","Article"
"MyMap: Generating personalized tourist descriptions","Applied Intelligence","","26","2","10.1007/s10489-006-0012-4","Berardina De CarolisGiovanni CozzolongoSebastiano PizzutiloVincenzo Silvestri","2007","http://link.springer.com/article/10.1007/s10489-006-0012-4","Article"
"The framework: Scope and concepts","Evaluating Natural Language Processing Systems","","","","10.1007/BFb0027472","","1996","http://link.springer.com/chapter/10.1007/BFb0027472","Chapter"
"Learning Bayesian networks: The combination of knowledge and statistical data","Machine Learning","","20","3","10.1007/BF00994016","David HeckermanDan GeigerDavid M. Chickering","1995","http://link.springer.com/article/10.1007/BF00994016","Article"
"Learning Bayesian Networks: The Combination of Knowledge and Statistical Data","Machine Learning","","20","3","10.1023/A:1022623210503","David HeckermanDan GeigerDavid M. Chickering","1995","http://link.springer.com/article/10.1023/A%3A1022623210503","Article"
"An augmented reality interface to contextual information","Virtual Reality","","15","2 - 3","10.1007/s10055-010-0183-5","Antti AjankiMark BillinghurstHannes GamperToni JärvenpääMelih KandemirSamuel KaskiMarkus KoskelaMikko KurimoJorma LaaksonenKai PuolamäkiTeemu RuokolainenTimo Tossavainen","2011","http://link.springer.com/article/10.1007/s10055-010-0183-5","Article"
"Text comprehension and the computational mind-agencies","Natural Computing","","14","4","10.1007/s11047-014-9478-x","Romi BanerjeeSankar K. Pal","2015","http://link.springer.com/article/10.1007/s11047-014-9478-x","Article"
"Analysis of 3D signatures recorded using leap motion sensor","Multimedia Tools and Applications","","","","10.1007/s11042-017-5011-4","Santosh Kumar BeheraDebi Prosad DograPartha Pratim Roy","2017","http://link.springer.com/article/10.1007/s11042-017-5011-4","Article"
"Computer linguistics in IntellSyst","Automatic Documentation and Mathematical Linguistics","","43","1","10.3103/S0005105509010038","A. A. KrasilovR. D. Grigoryev","2009","http://link.springer.com/article/10.3103/S0005105509010038","Article"
"A Social Stability Analysis System Based on Web Sensitive Information Mining","Big Data Technology and Applications","","","","10.1007/978-981-10-0457-5_6","Wei Wang","2016","http://link.springer.com/chapter/10.1007/978-981-10-0457-5_6","Chapter"
"Multilingual WWW","Knowledge-Based Information Retrieval and Filtering from the Web","","","","10.1007/978-1-4757-3739-4_9","Feiyu Xu","2003","http://link.springer.com/chapter/10.1007/978-1-4757-3739-4_9","Chapter"
"Quality of Web Data and Quality of Big Data: Open Problems","Data and Information Quality","","","","10.1007/978-3-319-24106-7_14","Monica ScannapiecoLaure Berti","2016","http://link.springer.com/chapter/10.1007/978-3-319-24106-7_14","Chapter"
"A survey on instance selection for active learning","Knowledge and Information Systems","","35","2","10.1007/s10115-012-0507-8","Yifan FuXingquan ZhuBin Li","2013","http://link.springer.com/article/10.1007/s10115-012-0507-8","Article"
"Formal and relational concept analysis for fuzzy-based automatic semantic annotation","Applied Intelligence","","40","1","10.1007/s10489-013-0451-7","C. De MaioG. FenzaM. GalloV. LoiaS. Senatore","2014","http://link.springer.com/article/10.1007/s10489-013-0451-7","Article"
"Introduction","Anaphora Resolution","","","","10.1007/978-3-662-47909-4_1","Roland Stuckardt","2016","http://link.springer.com/chapter/10.1007/978-3-662-47909-4_1","Chapter"
"A hybrid approach for content extraction with text density and visual importance of DOM nodes","Knowledge and Information Systems","","42","1","10.1007/s10115-013-0687-x","Dandan SongFei SunLejian Liao","2015","http://link.springer.com/article/10.1007/s10115-013-0687-x","Article"
"Neural Networks for Graphics and Imaging","Visual Computing","","","","10.1007/978-3-642-85023-3_7","Markus Groß","1994","http://link.springer.com/chapter/10.1007/978-3-642-85023-3_7","Chapter"
"Fourier–Mellin registration of line-delineated tabular document images","International Journal of Document Analysis and Recognition (IJDAR)","","8","2 - 3","10.1007/s10032-005-0003-8","Luke A. D. HutchisonWilliam A. Barrett","2006","http://link.springer.com/article/10.1007/s10032-005-0003-8","Article"
"Semantic audiovisual asset model","Multimedia Tools and Applications","","63","3","10.1007/s11042-011-0883-1","Benjamin DiemertMarie-Hélène AbelClaude Moulin","2013","http://link.springer.com/article/10.1007/s11042-011-0883-1","Article"
"The H-N2N framework: towards providing interperception in massive applications","Multimedia Tools and Applications","","45","1 - 3","10.1007/s11042-009-0305-9","Aquiles M. F. BurlamaquiSamuel O. AzevedoRummenigge Rudson DantasClaudio A. SchneiderJosivan S. XavierJulio C. P. MeloLuiz M. G. GonçalvesGuido L. S. FilhoJauvane C. de Oliveira","2009","http://link.springer.com/article/10.1007/s11042-009-0305-9","Article"
"Automatic extraction of printed mathematical formulas using fuzzy logic and propagation of context","International Journal on Document Analysis and Recognition","","4","2","10.1007/s100320100064","A. KacemA. BelaïdM. Ben Ahmed","2001","http://link.springer.com/article/10.1007/s100320100064","Article"
"Mobile Note Taking: Investigating the Efficacy of Mobile Text Entry","Mobile Human-Computer Interaction - MobileHCI 2004","","","","10.1007/978-3-540-28637-0_14","Joanna LumsdenAndrew Gammell","2004","http://link.springer.com/chapter/10.1007/978-3-540-28637-0_14","Chapter"
"Leveraging corporate context within knowledge-based document analysis and understanding","International Journal on Document Analysis and Recognition","","3","4","10.1007/PL00013567","Claudia WenzelHeiko Maus","2001","http://link.springer.com/article/10.1007/PL00013567","Article"
"Restoration of Old Documents with Genetic Algorithms","Applications of Evolutionary Computing","","","","10.1007/3-540-36605-9_40","Daniel RiveroRafael VidalJulián DoradoJuan R. RabuñalAlejandro Pazos","2003","http://link.springer.com/chapter/10.1007/3-540-36605-9_40","Chapter"
"The effect of previous exposure to technology on acceptance and its importance in usability and accessibility engineering","Universal Access in the Information Society","","10","3","10.1007/s10209-010-0212-x","Andreas HolzingerGig SearleMichaela Wernbacher","2011","http://link.springer.com/article/10.1007/s10209-010-0212-x","Article"
